a_line_number	b_z_score	c_source_sent	d_reference_sent	e_system_output	f_neg_error	g_notes	h_source	
2151	-3.329	Beyazlatayım derken dişinizden olmayın	Don’t lose you teeth while trying to whiten them.	When you say "whiter", don't be from your teeth.	1	figurative expression?		
2424	-3.051	Sadece futbol değil hepsine yaklaşım yanlış.	It’s not only to football, but his whole approach is wrong.	Not only football, but it's all wrong to approach them.	0			
1058	-2.953	Başka bir dövüş bu kadar ilgi ve söylenti yaratmaz.	No other fight creates as much attention and buzz.	Another fight does not create such interest and rumors.	0	placement of negation is off, but not a complete contradiction		
1003	-2.843	Bize karşı acımasızca yürütülen ve kanunlara karşı yapılan ablukadan Türkiye sayesinde etkilenmedik.	With the help of Turkey we were not affected by the ruthless and illegal blockage.	We were not affected by the blockade imposed against us and against the laws.	0			
438	-2.665	Panai kabile konseyi başkanı John Gobai, "Genç insanlar köyde kalmaya ilgi duymuyor çünkü burada iş veya para yok." diyor.	"The young people are not interested to stay in the village ... because there's no jobs or money here," says John Gobai, the chairman of the tribal council of Paniai.	"Young people are not interested in staying in the village because there is no business or money here."he says.	0			
579	-2.341	ABD başkanı duvarı halka açık bir şekilde topa tutan Meksika başkanını azarladı ve söylentiye göre "Bunu basına söyleyemezsin." dedi	The US President berated him for publicly denouncing the wall, reportedly saying to him "You cannot say that to the press."	"You can't tell this to the press." quoth	0	negation is fine, content match is bad		
162	-2.218	Eleştirmenleri Facebook'ta engellemek: Eğer seçmenlerin eleştirilerini kaldıramıyorsan devlet görevine aday olma	Blocking critics from Facebook: Don't run for public office, if you can't take heat from voters	Blocking critics on Facebook: if you can't take criticism of voters, you're a candidate for state duty	1	total change in meaning		
1961	-2.169	Prof. Dr. Çağlar, "İçi görülemeyen suya balıklama atlanmamalı."	Prof. Dr. Çağlar "One shouldn’t be diving into water into which they can’t see".	Prof. Dr. The ages said, "fish in the water that cannot be seen inside should not be skipped."	1	figurative expression?		
1273	-2.117	İstanbul Kaçakçılık Suçlarıyla Mücadele Şube Müdürlüğü ekipleri, 4 şarap firmasının sattığı ürünlerin üzerlerinde bulunan mantar tapayı kapatan folyo kaplamanın uzun ve gevşek tutularak bandrollerin şişeye yapıştırılmadığını, kaplama üzerine yapıştırılan TAPDK bandrollerinin ürünler satıldıktan sonra toplatıldığını ve yeni üretilen şaraplara takılarak pazarlandığını tespit etti.	Teams from Istanbul’s Anti-Smuggling Branch Directorate had discovered that four wine companies had been keeping the folio cover on the bottles’ corks for too long, that the bottles’ labels were not properly affixed to the bottle, and that the TAPDK labels were then collected after they were sold and re-used for newly produced wines.	The teams of Istanbul Anti-smuggling crimes Department found that the foil coating which closes the cork Tap on the products sold by 4 wineries was not adhered to the bottle by holding the banders loosely and that the tapk banders that are adhered to the coating were gathered after the products were sold and they were marketed by attaching them to the newly produced wines.	1	change in meaning		
2520	-2.055	Bu Rhodes'un bir arşive dayanan ilk kitabı değil: Kendisi ayrıca Britanya Kütüphanesi'ndeki hikayelerden ilham alan, beklenmedik şekilde duygusal bulduğu bir proje olan 2014'teki Ölü Adamların Dişleri ve Diğer Hikayeler'i de yazdı.	It is not Rhodes's first book based on an archive: he also wrote 2014's Dead Men's Teeth and Other Stories, a collection inspired by documents in the British Library - a project he found unexpectedly emotional.	This is not Rhodes ' first book based on an archival: he also wrote the teeth and other stories of dead men in 2014, a project inspired by stories in the British Library, which he finds unexpectedly emotional.	0			
