a_line_number	b_z_score	c_source_sent	d_reference_sent	e_system_output	f_neg_error	g_notes	h_source_cue
593	-3.096	Wer sagt, in Zeiten von Tinder gebe es keine romantischen Kennenlern-Geschichten mehr - der sollte sich bei Aldi mal über Putenfleisch unterhalten.	Whoever says that there are no romantic "How we met"-stories anymore in times of Tinder, should head over to Aldi and talk about turkey meat.	Anyone who says that in the age of Tinder there are no more romantic get-to-know-you stories should have a chat about turkey at Aldi.	0		kein
612	-2.562	Das tut dem Jungen nicht gut.	That does not do him any good.	That's not good for the boy.	0	error?	nicht-ADJ
1271	-2.089	Dass sich unser Folktreff so schnell in Nottuln eta­bliert, hätte ich nicht gedacht.	I would not have thought that our Folktreff got established so quickly in Nottuln.	I didn't think it was going to happen so quickly in Nottingham.	0		nicht-V
1454	-2.083	Der Fall der nun geretteten Nigerianer sei mit Blick auf die schlechten Haftbedingungen in Libyen nicht außergewöhnlich.	Given the poor conditions in Libya, this case of the now rescued Nigerians is no exception.	The case of the Nigerians who have now been rescued is not exceptional in view of the poor prison conditions in Libya.	0		nicht-ADJ
1138	-1.954	Einen Handelfmeter - Louis Kortenjann hatte auf der Torlinie mit der Hand gerettet und sah dafür Rot - konnte Niklas Eilmann zudem ebenfalls nicht für die Gäste nutzen (75.).	A hand penalty - Louis Kortenjann had rescued on the goal line with the hand and got the red card - was also not of use for the guests (minute 75).	Niklas Eilmann was also unable to use a trading metre - Louis Kortenjann had saved with his hand on the goal line and saw red for it - for the visitors (75.).	1		nicht-PP
1401	-1.916	Die Botschaft war deutlich: Geschätzt 1200 Cuxhavener aus allen Teilen der Gesellschaft sagten auf dem Kaemmererplatz "Nein zu Hass und Gewalt".	The message was clear: An estimated 1,200 Cuxhaveners from all walks of life said ‘No to hate and violence’ at the Kaemmererplatz	The message was clear: an estimated 1200 Cuxhaven residents from all parts of society said "no to hate and violence" in Kaemmererplatz.	0		nein
1028	-1.87	Umgesetzt wurde dieses Ansinnen indes nicht - zu viele Faktoren sprachen anscheinend gegen einen Bau an dieser Stelle.	However, this request was not implemented - apparently, too many factors were against a construction at this point.	However, this request was not implemented - too many factors apparently spoke against a building at this point.	0		nicht-V (comp)
1195	-1.828	Akademie-Direktor Hahn gab sich überzeugt: "Eine freie Demokratie braucht Orte, an denen eine Bürgergesellschaft zusammenkommen kann, um nach Lösungen oder wenigstens nach Teillösungen zu suchen".	Academy Director, Hahn was not convinced: ‘A free democracy needs places where a civil society can come together, to look for solutions or at least partial solutions’.	Academy Director Hahn was convinced: "A free democracy needs places where a civil society can come together to look for solutions, or at least partial solutions."	1	system totally missing negation; lexical negation in source	lexical
111	-1.779	Sagt er doch nichts darüber aus, ob ich Fett durch Muskeln ersetzt habe.	After all, it does not tell me whether I have been replacing fat with muscle.	It doesn't say anything about whether I've replaced fat with muscle.	0		nichts
161	-1.617	Das T-Shirt, sei nicht das Problem gewesen, sagte Seibert der Bild am Sonntag.	The T-shirt was not the problem, Seibert said to the Bild on Sunday.	The T-shirt was not the problem, Seibert told Bild am Sonntag.	0		nicht-V
1170	-1.611	Keinen Sieger hat es im Landesliga-Duell zwischen dem TSV Straßberg und dem FV Biberach gegeben.	There was no winner in the soccer league Landesliga dual between TSV Straßberg and FV Biberach.	There was no winner in the regional league duel between TSV Straßberg and FV Biberach.	0		kein
1043	-1.611	"Wenn man über zusätzliche Arbeitsverdichtung und Überstunden sprechen will, wird das ohne uns nicht gehen", erklärte der Chef der GdF, die bei der bundeseigenen Deutschen Flugsicherung viele Mitglieder hat.	If you want to talk about additional work and overtime, that will not work without us, said the head of the German air traffic union, many members of which work for the federally owned German air traffic control company DFS.	"If you want to talk about additional compression of work and overtime, it will not be possible without us," explained the head of the GdF, which has many members at the German air traffic control company.	0		nicht-V
652	-1.597	Ausgangslage: Vier Punkte nach fünf Spieltagen - das konnte Trainer Adi Hütter nicht reichen.	Background: Four points after five match days - coach Adi Hütter was not going to be happy with that.	Starting position: Four points after five match days - that was not enough for coach Adi Hütter.	1		nicht-V
1885	-1.552	Schöpf eigentlich kein Kopfball-Ungeheuer	Schöpf is usually not an aerial threat	Don't really create a header monster	1	very wrong	kein
1551	-1.531	Beim Flachschuss aus 20 Metern des Aargauers war Yann Sommer machtlos, ebenso wie beim zweiten Gegentreffer nach einer Stunde.	The Aargauer Yann Sommer was powerless against the low shot from 20 metres, as well as against the second goal against an hour later.	Yann Sommer was powerless with a low shot from 20 yards, just as he was with his second goal after an hour.	0		-los
96	-1.502	Der Verbandschef fände es nach eigenen Worten "merkwürdig", wenn er nach dem Zuschlag für die Fußball-EM 2024 nicht "Lust hätte, an dem Zukunftsprojekt mitzuarbeiten".	In his own words, the head of the association would find it "strange" if he did not "feel like working on the future project" after Germany was awarded the UEFA European Football Championship 2024.	The FA chief executive said it would be 'strange' if he did not 'feel like working on the project for the future' following the bid for Euro 2024.	0		nicht-S
1054	-1.444	Der notwendige Personalaufbau ist damit noch nicht verbunden.	It does not yet address the necessary staff expansion.	The necessary personnel build-up is not yet connected with this.	1		nicht-V
505	-1.436	Nur können sie sich für die Komplimente wenig kaufen.	But compliments don’t win games.	Only they can buy little for the compliments.	1	negation in reference but not in source (figurative expression in source)	wenig? (figurative)
832	-1.391	Die Niedersachsen spielten nun zwar etwas mutiger nach vorne, zündende Ideen blieben jedoch bis kurz vor Ende aus, als immerhin noch der Anschlusstreffer gelang.	The Lower Saxony side showed more courage going forward but could not come up with any dazzling ideas until just before the end of the match when they at least managed to score and narrow the gap.	The Lower Saxony played now somewhat more courageously forward, igniting ideas remained however until shortly before the end, when at least the follow-up goal succeeded.	1	lexical (no negation in source, strictly speaking)	n/a
861	-1.34	Die ersten Planungen begannen vor rund acht Jahren, als das ehemalige Offiziersgebäude der US-Army auf den Prüfstand für die Bewohner mit Handycap gestellt wurde: "Das Haus war in die Jahre gekommen und nicht mehr zeitgemäß in der Ausstattung", erklärte Bader rückblickend.	Planning first began about eight years ago, when the former US Army officers’building was tested for its suitability for residents with disabilities: "The house was getting old and no longer up-to-date in terms of features," Bader explained looking back.	The first plans began about eight years ago, when the former officers "building of the US Army was put to the test for residents with a mobile phone cap:" The house was getting old and out of date in terms of equipment, "Bader explained in retrospect.	0	"no longer up-to-date" vs. "out of date"	nicht mehr
52	-1.335	Die Rettungsmannschaften sind noch nicht in die verwüsteten und von der Außenwelt abgeschnittenen Gebiete vorgedrungen.	The rescue teams have not yet progressed into the ravaged and isolated areas.	Rescue teams have not yet entered the devastated areas cut off from the outside world.	0		nicht-PP (nicht-V?)
110	-1.319	Den Body-Mass-Index berechnet das Ding auch, aber der ist eher für die Würscht.	This thing also calculates my body mass index but that is rather useless anyway.	The thing also calculates the body mass index, but this is more for the sausages.	1	figurative	n/a
1900	-1.305	"Dann wäre es kein Zittersieg geworden", meinte Tedesco: "Man hat die Angst schon ein bisschen gespürt".	That way it would not have been such a nerve wrecking victory, said Tedesco: "You really could feel the fear a little bit."	"Then it wouldn't have been a shock win," Tedesco said: "You could feel the fear a little bit."	0		kein
105	-1.279	"Wenn da einer ohne Migrationshintergrund deutlich in die Gesellschaft und den Fußball hineinwirkt und sagt, "das Thema ist wichtig, da müssen wir uns kümmern", das wäre auch eine Initiative, um für eine bessere Grundlage zu sorgen für unsere Vereine vor Ort, wo Integration funktionieren muss", sagte Grindel.	If somebody without a migration background is an obvious influencer in society and football and says, ‘the issue is an important one, we need to do something about it’, ‘this would also be an initiative to provide a better foundation for our local teams, where integration needs to work’, Grindel said.	"If someone without a migrant background has a clear impact on society and football and says," the issue is important, we have to take care of it, "that would also be an initiative to provide a better basis for our clubs on the ground, where integration has to work," Grindel said.	0		ohne
395	-1.259	Sollte die Weste in den nächsten Wochen nicht beschmutzt werden, müssen sie nach oben schauen.	If they don’t want to lose hope, they have to look up.	If the vest is not soiled in the next few weeks, they will have to look up.	1	figurative expression in source	nicht-V
911	-1.157	Nicht Gleich und Gleich hat sich zur GroKo zusammengetan, sondern drei Partner mit teils sehr unterschiedlichen Gesellschaftsbildern und Prioritäten.	Not equal and equal has joined forces to form the grand coalition, but three partners with sometimes very different images of society and priorities.	Not Equal and Equal has joined forces to form GroKo, but three partners with, in some cases, very different views of society and priorities.	0		nicht-ADJ
102	-1.112	An Spekulationen, ob Lahm sein Nachfolger als DFB-Chef werden könnte, wollte er sich nicht beteiligen.	At the same time, he did not want to speculate as to whether or not Lahm could succeed him as head of the DFB.	He did not want to take part in speculation as to whether Lahm could be his successor as DFB boss.	0		nicht-V
1817	-1.104	Ist eine Insel wie Sulawesi, die auf dem Pazifischen Feuerring liegt, nicht auf Erdbeben vorbereitet?	An island like Sulawesi that sits on the Pacific rim of fire, is not prepared for earthquakes?	Is an island like Sulawesi, located on the Pacific Ring of Fire, not prepared for earthquakes?	0		nicht-ADJ
999	-1.092	"Eigentlich sollte es so etwas wie eine Tafel gar nicht geben", bedankte er sich dennoch für die Aktion des Männerchores.	Strictly speaking, there should be no need for things like food banks, he said when thanking the men’s choir for their efforts.	"Actually there should be no such thing as a plaque at all," he nevertheless thanked for the action of the male choir.	0		nicht-V
816	-0.972	Viel Positives gab es zuvor beim 1:4 (0:2) des Tabellenletzten bei Eintracht Frankfurt jedoch nicht zu sehen.	However, there were not many positives to take away from the bottom team’s earlier 1:4 (0:2) result at Eintracht Frankfurt.	However, there was not much positive to see in the 1: 4 (0: 2) of last place in the table at Eintracht Frankfurt.	0		nicht-V
1869	-0.944	Man werde gezielt die bekannten Anschuldigungen von zwei Frauen untersuchen, mehr nicht, sagte ein Regierungsvertreter dem "Wall Street Journal": "Die gehen nicht auf einen Angelausflug".	They will focus on investigating the known allegations by two women, nothing more, a government official told the Wall Street Journal: "They will not be going on a fishing trip."	"They're not going on a fishing trip," a government official told the Wall Street Journal, referring to the well-known allegations by two women.	1		nicht-ADV; nicht-V
879	-0.852	Mit diesen Unterschieden dürfen wir uns nicht zufriedengeben", sagte die Ministerpräsidentin von Mecklenburg-Vorpommern dem "Tagesspiegel am Sonntag".	We cannot permit ourselves to be satisfied with these differences,” said the minister president of Mecklenburg-Vorpommern to the “Tagesspiegel” on Sunday.	We must not be satisfied with these differences, "the Prime Minister of Mecklenburg-Vorpommern told the" Tagesspiegel am Sonntag. "	0		nicht-V
901	-0.843	Wenn die Bundesregierung nun soweit ist, sich wieder ihrem Auftrag zu widmen - dem Regieren -, sollte man sie jetzt nicht mit Begriffsdebatten davon abhalten.	Now the federal government is ready to devote itself again to the task of governing, they should not be distracted from this now with debates on terminology.	If the Federal Government is now ready to return to its mission - to govern - it should not now be prevented from doing so by debating concepts.	1	kind of an error?	nicht-V
1615	-0.778	Die Einbrecher ahnten zwar, dass die Bewohner nicht zu Hause waren.	The burglars assumed the inhabitants were not at home.	The burglars did suspect that the residents were not at home.	0		nicht-PP
929	-0.751	Marxgrün - Lange wollte sich die Polizei dazu nicht äußern.	Marxgrün - Lange did not want to comment on the matter to the police.	The police declined to comment for a long time.	0	ref and system use different forms	nicht-V
1378	-0.746	Schon das Quartett "Tiger Bonesaw" mit Frontmann und Gitarrist Dennis Hadrika weiß zum Auftakt des Konzertabends auch mit neuesten, unbekannten Stücken aus eigener Feder und der demnächst erscheinenden CD zu überzeugen.	Kicking things off, the Tiger Bonesaw quartet around frontman and guitarist Dennis Hadrika manages to win the crowd with their latest, unknown pieces, which the band penned themselves for their soon to be released CD.	Already the quartet "Tiger Bonesaw" with front man and guitarist Dennis Hadrika knows how to convince at the beginning of the concert evening also with newest, unknown pieces written by themselves and the soon to be released CD.	0		un-
1967	-0.717	"Es war nicht einfach, ihm das mitzuteilen, das sage ich Ihnen ganz ehrlich", berichtete Tedesco von dem Moment, als er Naldo gesagt hatte, dass er nicht in der Startelf stehe.	It was not easy to tell him that, I tell you, Tedesco said when he told Naldo that he was not in the starting lineup.	"It wasn't easy to tell him that, I'll be honest with you," Tedesco said of the moment he told Naldo he wasn't in the starting line-up.	0		nicht-ADJ; nicht-V
1391	-0.676	Ohrenbetäubende 120 Dezibel in Düsentrieblautstärke wie beim jährlichen Metal-Stelldichein im Norden der Republik üblich, braucht das Ahlener Publikum bei dieser Rocknacht indessen nicht.	However, the Ahlen audience has no need during this night of rock for 120 decibel sound as loud as a jet engine, as is common at the heavy metal get together in the north of Germany.	Deafening 120 decibels in jet engine volume as usual at the annual Metal rendezvous in the north of the Republic, however, the Ahlen audience does not need this rock night.	0		nicht-V
1648	-0.654	"Da müssen wir in Zukunft - weil wir auch viele Spieler mit Migrationshintergrund in den U-Mannschaften haben - sehr genau Schlussfolgerungen ziehen, dass sich so etwas nicht wiederholt", sagte der 57-Jährige und will einen Nationalspieler ohne Migrationshintergrund als weiteren Integrationsbeauftragten gewinnen.	As we have a lot of players with a migration background in the U teams, in future we must draw very specific conclusions, so something like this this does not happen again, said the 57-year-old and plans to get a national player without a migration background as an additional integration official.	"In the future - because we also have a lot of players with a migrant background in the U-teams - we have to draw very precise conclusions that something like this will not happen again," said the 57-year-old and wants to recruit an international without a migrant background as another integration officer.	0		nicht-V; ohne
390	-0.614	Ich habe phasenweise richtig guten Volleyball gesehen", haderte Annacker nicht mit dem 0:3 - und ging umgehend zur Tagesordnung über.	I've seen a great game of volleyball at times, Annacker did not struggle with the 0-3 and went straight back to the agenda.	I saw some really good volleys, "Annacker said of the 0-3 draw - and immediately went back to business as usual.	1	system completely misses the negation (uses more neutral verb "said" instead of "did not bemoan")	nicht-V
