a_line_number	b_z_score	c_source_sent	d_reference_sent	e_system_output	f_neg_error	g_notes	h_source
989	-4.604	Пока неизвестно, каким образом скрипка попала к человеку, сдавшему ее в ломбард, но за ним не числятся никакие прежние столкновения с законом.	It is not yet known how the person who sold the violin to the pawnshop obtained the instrument, but it is known that the seller had no criminal background.	It is not yet known how the violin got to the man who handed it over to the pawnshop, but he has no record of any previous run-ins with the law.	0		
1179	-2.167	Это шоу "Голос", а не шоу "Крутые родственники".	This is the show "Voice", and not the show "Big Shot Relatives".	This is "The Voice", not "Cool Families".	1		
870	-2.15	Тем не менее, все трое проспали, и пенальти не был назначен.	However, none of the three referees did not see it, and no penalty was awarded.	Nevertheless, all three slept, and no penalty was awarded.	1	contradiction? or error in ref translation	
1845	-2.078	Что нужно делать, чтобы не корчить из себя жертву?" - написала @liashukgalina.	What to do not to make a victim out of yourself?" @liashukgalina wrote.	What should be done not to root out the victim? "wrote @ liashukgalina.	1		
1841	-2.032	"Это ты еще не страдала.	“You haven’t truly suffered.	It's you haven't suffered yet.	0		
817	-1.948	Шансов застрять совсем у броневика апокалипсиса Roshel Senator APC нет	The Roshel Senator APC simply has no chance of getting stuck	No chance of getting stuck at all in Roshel Senator APC apocalypse armor	0		
1105	-1.915	Добавим, что уже в следующие выходные в США будет вовсю собирать долгожданный "Веном" с Томом Харди, который - в этом можно не сомневаться - без особых проблем завладеет лидерством в американском бокс-офисе по итогам первых выходных октября.	We’ll add that next weekend in the US, the long-awaited Venom with Tom Hardy will be in full swing. It will without a doubt take over the leading position in the American box office on the first weekends of October.	Add that next weekend in the United States the long-awaited "Vienna" with Tom Hardy, who - no doubt about it - will easily take the lead in the American boxing office following the results of the first weekend of October.	0		
116	-1.81	Но мы очень здорово сыграли в обороне, не дали много шансов сопернику, не позволили поймать нас на сменах, у "Динамо" не было атак с численным преимуществом, поэтому все закончилось хорошо для нас, - приводит слова Хартли пресс-служба омского клуба.	But we played very well in defense, restricted the opponent to few chances, did not allow them to catch us out during substitutions. Dinamo did not have any power plays, so the game ended well for us", said Hartley, as reported by the Omsk press office.	But we played very well defensively, didn't give a lot of chances to the opponent, didn't allow to catch us on shifts, Dynamo didn't have attacks with a numerical advantage, so everything ended well for us, - the press service of the Omsk club quotes Hartley as saying.	0		
1490	-1.472	Раньше у него еще было значение "не зависеть ни от чего, иметь самодовлеющее значение" - "довлеть себе".	Previously, it also had the meaning of "not to depend on anything, to be self-contained" - "to prevail over oneself".	Before, it still had the meaning of "not to depend on anything, to be self-sufficient" - "to dominate yourself".	0		
995	-1.451	"Ростов" три матча подряд не мог выиграть, зато и поражений не знает вот уже пять матчей.	For three games in a row Rostov has not been able to win, but it has gone undefeated now for five matches.	"Rostov" could not win three matches in a row, but knows no defeats for five matches already.	0		
